code_module,code_presentation,id_student,gender,region,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,score,disability,final_result
AAA,2013J,11391,M,East Anglian Region,HE Qualification,90-100%,55<=,0,240,78,N,Pass
AAA,2013J,28400,F,Scotland,HE Qualification,20-30%,35-55,0,60,70,N,Pass
AAA,2013J,30268,F,North Western Region,A Level or Equivalent,30-40%,35-55,0,60,72,Y,Withdrawn
AAA,2013J,31604,F,South East Region,A Level or Equivalent,50-60%,35-55,0,60,69,N,Pass
AAA,2013J,32885,F,West Midlands Region,Lower Than A Level,50-60%,0-35,0,60,79,N,Pass
AAA,2013J,38053,M,Wales,A Level or Equivalent,80-90%,35-55,0,60,70,N,Pass
AAA,2013J,45462,M,Scotland,HE Qualification,30-40%,0-35,0,60,72,N,Pass
AAA,2013J,45642,F,North Western Region,A Level or Equivalent,90-100%,0-35,0,120,72,N,Pass
AAA,2013J,52130,F,East Anglian Region,A Level or Equivalent,70-80%,0-35,0,90,71,N,Pass
AAA,2013J,53025,M,North Region,Post Graduate Qualification,?,55<=,0,60,68,N,Pass
AAA,2013J,57506,M,South Region,Lower Than A Level,70-80%,35-55,0,60,73,N,Pass
AAA,2013J,58873,F,East Anglian Region,A Level or Equivalent,20-30%,0-35,0,60,67,N,Pass
AAA,2013J,59185,M,East Anglian Region,Lower Than A Level,60-70%,35-55,0,60,73,N,Pass
AAA,2013J,62155,F,North Western Region,HE Qualification,50-60%,0-35,0,60,83,N,Pass
AAA,2013J,63400,M,Scotland,Lower Than A Level,40-50%,35-55,0,60,66,N,Pass
AAA,2013J,65002,F,East Anglian Region,A Level or Equivalent,70-80%,0-35,0,60,59,N,Withdrawn
AAA,2013J,70464,F,West Midlands Region,A Level or Equivalent,60-70%,35-55,0,60,82,N,Pass
AAA,2013J,71361,M,Ireland,HE Qualification,?,35-55,0,60,60,N,Pass
AAA,2013J,74372,M,East Anglian Region,A Level or Equivalent,10る20ら,35-55,0,150,67,N,Fail
AAA,2013J,75091,M,South West Region,A Level or Equivalent,30-40%,35-55,0,60,73,N,Pass
AAA,2013J,77367,M,East Midlands Region,A Level or Equivalent,30-40%,0-35,0,60,75,N,Pass
AAA,2013J,91265,M,North Western Region,HE Qualification,0-10%,0-35,0,60,74,N,Pass
AAA,2013J,94961,M,South Region,Lower Than A Level,70-80%,35-55,0,60,62,N,Withdrawn
AAA,2013J,98094,M,Wales,Lower Than A Level,70-80%,35-55,0,60,63,N,Pass
AAA,2013J,100893,M,Yorkshire Region,A Level or Equivalent,20-30%,0-35,0,60,84,N,Pass
AAA,2013J,101781,M,South Region,Lower Than A Level,80-90%,35-55,0,60,80,N,Pass
